Genes,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,geneID
Down-regulated,GO:0006631,fatty acid metabolic process,87/1538,375/16344,9.994818401472155e-16,4.96833336538634e-13,ADIPOR1/AKT2/TECR/ECHS1/PNPLA8/PTGR2/ADH5/GPX4/SLC25A17/CRYL1/AMACR/CRAT/LIAS/ECH1/PEX5/AIG1/SESN2/EHHADH/IVD/MBLAC2/ACADM/ALDH3A2/MCEE/PECR/CBR4/NUDT19/PTGR3/ECI2/APOC3/DECR2/ACAD11/ECI1/PTGR1/ACADL/CES1/HADH/PHYH/ACBD5/ACAA2/SIRT1/HSD17B8/IRS1/ACAT2/ACAT1/CYP2C9/SCP2/AKR1C1/ACAA1/ACOT2/HAO1/CYP4F3/ACACB/RGN/DBI/PER2/CYP4F11/HSD17B10/ALKBH7/BAAT/CYP2C18/PDK4/NR1H3/CYP4V2/SREBF1/ACSM2B/ACOX2/ETFBKMT/GCDH/PCK2/SLC27A5/ACADS/AKR1C4/ECHDC2/LIPC/HPGD/CYP3A4/ACADSB/ABHD1/NAAA/ACSM3/HAO2/SLC45A3/ADH4/BRCA1/CYP2E1/DGAT2/CYP2C19
Down-regulated,GO:0006091,generation of precursor metabolites and energy,101/1538,476/16344,2.679819312059917e-15,1.2211043331953022e-12,NDUFB5/GHITM/COX7C/NDUFS1/RBKS/PPP1CC/COX6A1/CYC1/TACO1/HMGCL/NDUFB4/SDHB/NDUFV2/ATP5IF1/NDUFS3/NDUFB6/NDUFA2/NDUFB8/AKT2/SDHC/DHRS3/BLOC1S1/FDX1/FLCN/NDUFC2/AKR7A2/NDUFA5/COX5B/ADH5/FH/COX7A2L/ZBTB20/NDUFB10/MTFR1L/SDHD/ARNT/NDUFB9/COX15/SIRT3/CYB5A/DERA/NUPR1/PDIA5/AK4/SHMT2/ACADM/ENTPD5/PHKG2/XYLB/MAOB/CHCHD10/SLC25A13/PFKFB1/GYS2/ADH1C/BNIP3/ETFRF1/MTFR1/ND3/IDH1/IRS1/ACAT1/AGL/DMGDH/ALDOB/PHGDH/HMGCS2/PKLR/ACSS2/GPD1/PER2/ENPP1/DNAJC15/CEBPA/ADH1A/PHKA1/HSD17B6/KHK/DHTKD1/PGM1/QDPR/ALDH2/ETFBKMT/SLC27A5/AKR1C4/PPIF/HAAO/CAT/ADH6/COQ10A/ALDH1L1/ADH1B/ADH4/GALK1/ENO3/PPP1R3C/PPP1R1A/GCK/GNMT/PGAM2/DHRS2
Down-regulated,GO:0019395,fatty acid oxidation,39/1538,106/16344,1.7180087266569576e-14,7.226209013354034e-12,ADIPOR1/AKT2/ECHS1/ADH5/SLC25A17/AMACR/CRAT/ECH1/PEX5/SESN2/EHHADH/IVD/ACADM/ECI2/DECR2/ACAD11/ECI1/ACADL/HADH/PHYH/ACAA2/IRS1/ACAT2/ACAT1/SCP2/ACAA1/HAO1/ACACB/HSD17B10/PDK4/CYP4V2/ACOX2/ETFBKMT/GCDH/ACADS/ECHDC2/HAO2/ADH4/DGAT2
Down-regulated,GO:0034440,lipid oxidation,39/1538,111/16344,9.844758833508357e-14,3.84508152154455e-11,ADIPOR1/AKT2/ECHS1/ADH5/SLC25A17/AMACR/CRAT/ECH1/PEX5/SESN2/EHHADH/IVD/ACADM/ECI2/DECR2/ACAD11/ECI1/ACADL/HADH/PHYH/ACAA2/IRS1/ACAT2/ACAT1/SCP2/ACAA1/HAO1/ACACB/HSD17B10/PDK4/CYP4V2/ACOX2/ETFBKMT/GCDH/ACADS/ECHDC2/HAO2/ADH4/DGAT2
Down-regulated,GO:0009062,fatty acid catabolic process,37/1538,102/16344,1.3488512115442674e-13,4.9170122831493696e-11,AKT2/ECHS1/SLC25A17/AMACR/CRAT/ECH1/PEX5/AIG1/SESN2/EHHADH/IVD/ACADM/MCEE/NUDT19/ECI2/DECR2/ACAD11/ECI1/ACADL/HADH/PHYH/ACAA2/IRS1/ACAT2/ACAT1/SCP2/ACAA1/HAO1/ACACB/HSD17B10/ACOX2/ETFBKMT/GCDH/PCK2/ACADS/ECHDC2/ABHD1
Down-regulated,GO:0043648,dicarboxylic acid metabolic process,34/1538,93/16344,1.0144807457872513e-12,3.4669879487279313e-10,AASDHPPT/SDHB/FH/SLC46A1/SDHAF3/KYNU/GRHPR/SHMT2/DHFR2/DHFR/ALDH5A1/QPRT/PHYH/IDH1/PRODH2/L2HGDH/MTHFD1/FPGS/GCLC/NIT2/SHMT1/MTHFS/GLUD1/PCK2/ASPA/ASS1/HAAO/GLS2/NAGS/HOGA1/ALDH1L1/AADAT/PRODH/OAT
Down-regulated,GO:0009636,response to toxic substance,58/1538,228/16344,1.126027934055441e-12,3.621835731420677e-10,PRDX2/GSTK1/RPS6KB1/AKR1A1/ESD/ATP7B/PRDX5/ADH5/GPX4/PRDX1/APOM/SESN2/NUPR1/ALB/MGST1/PRDX6/SLC23A1/SLC30A10/DHFR/MAOB/PRDX3/TXNRD2/GCH1/CCS/CES1/TXNRD3/ARG1/PRXL2A/EPHX2/CPOX/FANCC/TTPA/SOD1/ALAD/ABCG2/DDC/SLC6A1/PON1/MTARC2/ABCB6/BRIP1/GLYAT/MGMT/GSTZ1/ASS1/MTARC1/CAT/SLC47A1/ADH4/MT2A/MT1A/MT1E/MT1X/MT1M/MT1F/MT1G/MT1H/DHRS2
Down-regulated,GO:0006635,fatty acid beta-oxidation,30/1538,76/16344,2.1742138781763304e-12,6.604778603260097e-10,AKT2/ECHS1/SLC25A17/AMACR/CRAT/ECH1/PEX5/SESN2/EHHADH/IVD/ACADM/ECI2/DECR2/ACAD11/ECI1/ACADL/HADH/ACAA2/IRS1/ACAT2/ACAT1/SCP2/ACAA1/ACACB/HSD17B10/ACOX2/ETFBKMT/GCDH/ACADS/ECHDC2
Down-regulated,GO:0046394,carboxylic acid biosynthetic process,68/1538,296/16344,2.3304701771145e-12,6.706847857085309e-10,AASDHPPT/AKR1A1/TECR/PNPLA8/GPX4/OSBPL9/AMACR/LIAS/FGFR4/KYNU/CYP27A1/PROX1/SHMT2/BHMT2/PECR/CBR4/SERINC5/DHFR2/DHFR/ALDH8A1/APOC3/ABAT/DECR2/DPYD/ACADL/CES1/PAH/SIRT1/HSD17B8/UPB1/CYP2C9/MTHFD1/SCP2/PHGDH/PKLR/ACACB/RGN/PER2/CYP4F11/HSD17B10/SHMT1/BAAT/PDK4/NR1H3/PCBD1/ACSM2B/GLUD1/SLC27A5/ADI1/AKR1C4/ASS1/LIPC/PSAT1/HAAO/GLS2/CYP3A4/ABHD1/OSBPL6/NAGS/HOGA1/AASS/ACSM3/SLC45A3/BHMT/BRCA1/CYP2E1/AKR1D1/OAT
Down-regulated,GO:0016042,lipid catabolic process,71/1538,317/16344,2.769211491731002e-12,7.571024218392559e-10,"NAGA/AKT2/ECHS1/PNPLA8/HINT2/GDE1/SLC25A17/AMACR/CRAT/ECH1/PEX5/AIG1/RARRES2/SORL1/CYP27A1/SESN2/EHHADH/IVD/ACADM/PRDX6/MCEE/NUDT19/PLD1/ECI2/APOC3/DECR2/ACAD11/ECI1/ACADL/CES1/HADH/HSD11B1/PHYH/ACAA2/PLCXD2/IDH1/IRS1/ACAT2/ACAT1/SCP2/ACAA1/HAO1/PDE3B/CYP4F3/ACACB/CYP4F11/PLD6/HSD17B10/HSD17B6/GBA3/ACOX2/ETFBKMT/GCDH/PCK2/ACADS/ECHDC2/LIPC/CYP3A4/FMC1/ABHD1/NAAA/ASPG/SRD5A2/PLIN1/SULT1E1/AKR1D1/NEU4/CYP26A1/PLAAT2/HSD17B14/CIDEA"
Down-regulated,GO:0016053,organic acid biosynthetic process,68/1538,298/16344,3.2455858899388424e-12,8.450887450564567e-10,AASDHPPT/AKR1A1/TECR/PNPLA8/GPX4/OSBPL9/AMACR/LIAS/FGFR4/KYNU/CYP27A1/PROX1/SHMT2/BHMT2/PECR/CBR4/SERINC5/DHFR2/DHFR/ALDH8A1/APOC3/ABAT/DECR2/DPYD/ACADL/CES1/PAH/SIRT1/HSD17B8/UPB1/CYP2C9/MTHFD1/SCP2/PHGDH/PKLR/ACACB/RGN/PER2/CYP4F11/HSD17B10/SHMT1/BAAT/PDK4/NR1H3/PCBD1/ACSM2B/GLUD1/SLC27A5/ADI1/AKR1C4/ASS1/LIPC/PSAT1/HAAO/GLS2/CYP3A4/ABHD1/OSBPL6/NAGS/HOGA1/AASS/ACSM3/SLC45A3/BHMT/BRCA1/CYP2E1/AKR1D1/OAT
Down-regulated,GO:0034308,primary alcohol metabolic process,34/1538,100/16344,1.082741339124771e-11,2.691104382879203e-9,AKR1A1/DHRS3/AKR7A2/ADH5/GDE1/ALDH3A2/RBP4/PECR/CBR4/ADH1C/BMP6/AKR1C1/SULT1A1/HAO1/ACSS2/GPD1/ADH1A/CYP2C18/DGAT1/ALDH2/AKR1C4/DHRS4/LRAT/SULT1A2/CYP3A4/TTR/ADH6/NAAA/ADH1B/ADH4/SULT1A4/DGAT2/SULT1E1/CACNA1H
Down-regulated,GO:0098754,detoxification,40/1538,133/16344,1.4076356683261826e-11,3.346500797568507e-9,PRDX2/GSTK1/AKR1A1/ESD/ATP7B/PRDX5/ADH5/GPX4/PRDX1/APOM/SESN2/ALB/MGST1/PRDX6/SLC30A10/DHFR/PRDX3/TXNRD2/GCH1/CCS/TXNRD3/PRXL2A/FANCC/SOD1/ABCG2/MTARC2/ABCB6/GSTZ1/MTARC1/CAT/SLC47A1/ADH4/MT2A/MT1A/MT1E/MT1X/MT1M/MT1F/MT1G/MT1H
Down-regulated,GO:0006790,sulfur compound metabolic process,71/1538,334/16344,3.657473540008553e-11,8.332943881986155e-9,GSTK1/STAT5B/PPCS/SLC35D2/PDHX/AKR1A1/B3GNT2/TECR/SUOX/GPX4/MAT2B/ABHD14B/GLRX5/LIAS/PMVK/TPST1/PAPSS2/MPC2/HAGH/MCEE/BHMT2/GLO1/AHCY/NUDT19/SLC25A10/BTD/CHST13/ST3GAL1/SLC1A1/OPLAH/SLC26A1/IDH1/ACAT1/MTHFD1/PIPOX/SULT1A1/PHGDH/ACOT2/MMUT/HMGCS2/NDST3/ACACB/ACSS2/ENPP1/HS3ST3B1/GCLC/SOD1/CHST7/BAAT/ST3GAL6/PDK4/DGAT1/ACSM2B/GCDH/GHR/GLYAT/GSTZ1/ADI1/SLC19A2/SULT1A2/MAT1A/AASS/ACSM3/BHMT/AADAT/EGFLAM/SULT1A4/DGAT2/SULT1E1/GSTA2/GNMT
Down-regulated,GO:0006575,cellular modified amino acid metabolic process,47/1538,182/16344,8.956949463517801e-11,1.9590639866606132e-8,AASDHPPT/SERINC1/GSTK1/GPX4/SLC46A1/CRAT/ALDH9A1/SHMT2/ACADM/HPN/HAGH/BHMT2/GLO1/CPQ/SERINC5/DHFR2/DHFR/PCYOX1/GCH1/SLC16A2/ACADL/SLC1A1/OPLAH/IDH1/MTHFD1/PIPOX/DMGDH/FPGS/IYD/GCLC/SOD1/SHMT1/MTHFS/SARDH/GGACT/ALDH7A1/GSTZ1/ASS1/HOGA1/ALDH1L1/BHMT/FOLH1/BBOX1/PRODH/SLC16A10/GSTA2/GNMT
Down-regulated,GO:0009117,nucleotide metabolic process,89/1538,471/16344,1.0043270218763448e-10,2.112176982930713e-8,TJP2/PPCS/DCAKD/PDHX/PDE8A/UCK1/TECR/FLCN/AK3/ZBTB20/AFMID/ABHD14B/MCCC2/PAICS/PMVK/TPST1/AMPD2/ARNT/KYNU/DERA/NUPR1/NT5C3B/PAPSS2/NUDT16/AK4/ENTPD5/SLC25A16/MPC2/MCEE/DNPH1/NUDT19/NAPRT/PARP16/SLC25A13/PDE2A/PFKFB1/DPYD/PRPSAP1/CTPS1/QPRT/SLC26A1/ADK/PRPS1/NADK2/CDA/UPB1/ACAT1/MTHFD1/PIPOX/SULT1A1/ALDOB/ACOT2/ADAL/HMGCS2/PKLR/ACACB/NMRK1/ASPDH/ACSS2/GPD1/LRRK2/ENPP1/DPYS/SHMT1/BAAT/PDK4/DHTKD1/PGM1/DGAT1/ACSM2B/PNP/GCDH/GLYAT/HAAO/SULT1A2/AASS/ACSM3/ENPP3/NTHL1/AADAT/GALK1/SULT1A4/ENO3/DGAT2/IDO2/SULT1E1/ADCY1/GCK/PGAM2
Down-regulated,GO:0006753,nucleoside phosphate metabolic process,90/1538,479/16344,1.0726496543814827e-10,2.1723141889473878e-8,TJP2/PPCS/DCAKD/PDHX/PDE8A/UCK1/TECR/FLCN/AK3/ZBTB20/AFMID/ABHD14B/MCCC2/PAICS/PMVK/TPST1/AMPD2/ARNT/KYNU/DERA/NUPR1/NT5C3B/PAPSS2/NUDT16/AK4/ENTPD5/SLC25A16/MPC2/MCEE/DNPH1/NUDT19/NAPRT/PARP16/SLC25A13/PDE2A/PFKFB1/DPYD/PRPSAP1/CTPS1/QPRT/SLC26A1/ADK/PRPS1/NADK2/CDA/UPB1/ACAT1/MTHFD1/PIPOX/SULT1A1/ALDOB/ACOT2/ADAL/HMGCS2/PKLR/ACACB/NMRK1/ASPDH/ACSS2/SMPDL3A/GPD1/LRRK2/ENPP1/DPYS/SHMT1/BAAT/PDK4/DHTKD1/PGM1/DGAT1/ACSM2B/PNP/GCDH/GLYAT/HAAO/SULT1A2/AASS/ACSM3/ENPP3/NTHL1/AADAT/GALK1/SULT1A4/ENO3/DGAT2/IDO2/SULT1E1/ADCY1/GCK/PGAM2
Down-regulated,GO:1901617,organic hydroxy compound biosynthetic process,53/1538,230/16344,5.522139504893906e-10,1.0613195694011665e-7,PNPO/PPIP5K2/OSBPL9/AMACR/PMVK/FGFR4/CYP27A1/PROX1/ERG28/DHFR/PTH1R/SPTLC3/GCH1/NPC1L1/CES1/DAO/BMP6/ACAA2/PAH/SIRT1/SCP2/SC5D/HMGCS2/CYP51A1/PER2/SOD1/PMEL/HSD17B10/BAAT/EBP/PCBD1/DDC/FAXDC2/FDPS/SREBF1/QDPR/ALDH2/ABCG1/PCK2/SLC27A5/TM7SF2/DDT/FGF2/AKR1C4/SEC14L2/PSAT1/LSS/CYP3A4/OSBPL6/GPER1/SRD5A2/AKR1D1/CACNA1H
Down-regulated,GO:0006721,terpenoid metabolic process,30/1538,92/16344,5.628798008894262e-10,1.0613195694011665e-7,DHRS3/ADH5/RARRES2/ALDH3A2/RBP4/PECR/ALDH8A1/ADH1C/CYP2C9/AKR1C1/HMGCS2/ADH1A/CYP2C18/CYP4V2/DGAT1/FDPS/AKR1C4/DHRS4L2/DHRS4/LRAT/LSS/CYP3A4/TTR/ADH6/ADH1B/ADH4/CYP2E1/DGAT2/CYP26A1/CYP2C19
Down-regulated,GO:0042445,hormone metabolic process,51/1538,219/16344,7.876167764740314e-10,1.4175449367509347e-7,STAT5B/DHRS3/FDX1/ARNT/ALDH9A1/CTSL/PAPSS2/HPN/RBP4/ENPEP/UGT2B15/CPQ/UGT2B4/ALDH8A1/ADH1C/SLC16A2/BMP6/DPP4/HSD17B8/CYP2C9/AKR1C1/SULT1A1/ADH1A/IYD/HSD17B10/CYP2C18/HSD17B6/DGAT1/UGT2B7/ESR1/GHR/AKR1C4/DHRS4/LRAT/SCG5/CYP3A4/TTR/ADH6/ADH1B/ADH4/BCHE/SRD5A2/DGAT2/SULT1E1/AKR1D1/CACNA1H/SLC16A10/CYP26A1/UGT2B17/DHRS2/NR5A1
Down-regulated,GO:0006766,vitamin metabolic process,32/1538,104/16344,8.036556883555044e-10,1.4175449367509347e-7,AASDHPPT/MMADHC/LMBRD1/AKR1A1/PNPO/CLYBL/SLC46A1/GC/CYP27A1/LGMN/SHMT2/SLC23A1/BTD/DHFR2/DHFR/MMAB/VKORC1L1/CYP4F3/RGN/CYP4F11/TTPA/FPGS/GCLC/SHMT1/MTHFS/UGT1A4/SLC19A2/LRAT/PSAT1/CYP3A4/SLC52A1/CYP26A1
Down-regulated,GO:0046686,response to cadmium ion,22/1538,54/16344,9.164450906492086e-10,1.565975548646835e-7,SUMO1/CDKN1B/MAPK8/ARG1/EGFR/HMOX1/GCLC/SOD1/ALAD/ABCB6/HAAO/CAT/SORD/MT2A/MT1A/MT1E/SLC34A1/MT1X/MT1M/MT1F/MT1G/MT1H
Down-regulated,GO:0022900,electron transport chain,42/1538,163/16344,9.584505328895173e-10,1.588123489042388e-7,NDUFB5/GHITM/COX7C/NDUFS1/COX6A1/CYC1/NDUFB4/SDHB/NDUFV2/NDUFS3/NDUFB6/NDUFA2/NDUFB8/SDHC/DHRS3/FDX1/NDUFC2/AKR7A2/NDUFA5/COX5B/ADH5/COX7A2L/NDUFB10/SDHD/NDUFB9/COX15/CYB5A/PDIA5/MAOB/SLC25A13/ETFRF1/ND3/DMGDH/PHGDH/GPD1/DNAJC15/HSD17B6/QDPR/ALDH2/AKR1C4/HAAO/DHRS2
Down-regulated,GO:0033865,nucleoside bisphosphate metabolic process,35/1538,123/16344,1.3862576049651347e-9,2.1055712733192657e-7,PPCS/DCAKD/PDHX/TECR/ABHD14B/MCCC2/PMVK/TPST1/PAPSS2/SLC25A16/MPC2/MCEE/NUDT19/SLC26A1/ACAT1/PIPOX/SULT1A1/ACOT2/HMGCS2/ACACB/ACSS2/ENPP1/BAAT/PDK4/DGAT1/ACSM2B/GCDH/GLYAT/SULT1A2/AASS/ACSM3/AADAT/SULT1A4/DGAT2/SULT1E1
Down-regulated,GO:0033875,ribonucleoside bisphosphate metabolic process,35/1538,123/16344,1.3862576049651347e-9,2.1055712733192657e-7,PPCS/DCAKD/PDHX/TECR/ABHD14B/MCCC2/PMVK/TPST1/PAPSS2/SLC25A16/MPC2/MCEE/NUDT19/SLC26A1/ACAT1/PIPOX/SULT1A1/ACOT2/HMGCS2/ACACB/ACSS2/ENPP1/BAAT/PDK4/DGAT1/ACSM2B/GCDH/GLYAT/SULT1A2/AASS/ACSM3/AADAT/SULT1A4/DGAT2/SULT1E1
