Genes,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,geneID
Down-regulated,GO:0043648,dicarboxylic acid metabolic process,42/2156,93/16344,4.246540586160912e-14,2.2151499893992105e-11,SDHA/NR1H4/ALDH5A1/SLC46A1/MTHFS/DHFR2/DHFR/IDH1/NIT2/FH/SDHAF3/QPRT/MRPS36/SHMT2/PHYH/SHMT1/FTCD/MTHFD1/KYNU/GCLC/FPGS/L2HGDH/GLUD1/GRHPR/GPT2/PRODH2/PCK2/ACMSD/ADHFE1/PCK1/ALDH1L1/HOGA1/AMDHD1/GLS2/HAAO/ASPA/AADAT/NAGS/TAT/ASS1/PRODH/OAT
Down-regulated,GO:0008202,steroid metabolic process,89/2156,304/16344,8.562423491956657e-14,4.094265499737275e-11,PANK2/HDLBP/PRKAA1/ERLIN1/MBTPS2/STAT5B/NR1H4/ERLIN2/STUB1/LRP5/PMVK/SCP2/OSBPL9/UGT2B15/APOA2/CYP7B1/CYB5R1/SERPINA6/ACAA1/BMP6/PROX1/HINT2/RXRA/LGMN/CYP39A1/CYP27A1/APOC1/DHRS4/SRD5A1/EPHX2/NR1I2/FMO5/GC/HSD17B10/FGFR4/UGT2B7/HSD17B8/APOA5/FDPS/AKR1C1/CYP4V2/HSD17B11/LSS/CEBPA/SREBF1/AKR1C4/HMGCS2/EBP/RORA/CAT/TM7SF2/OSBPL6/ARMC5/RORC/ABCB11/FAXDC2/HSD11B1/APOF/G6PC1/SOD1/DGAT2/UGT1A4/NR5A2/SIRT1/SLC27A5/BAAT/SULT1A2/SULT1A1/CETP/PON1/SEC14L2/LCAT/EBPL/TSKU/NR0B2/CYP3A4/CYP2E1/AKR1D1/SULT1E1/CACNA1H/CYP3A5/CYP1A2/CYP1A1/UGT2A1/SOAT2/HSD17B14/UGT2B17/SERPINA12/CYP2C19
Down-regulated,GO:0009060,aerobic respiration,62/2156,181/16344,2.752093033105029e-13,1.2147315249197428e-10,PANK2/CHCHD2/UQCRC1/ATP5PO/NDUFV2/OXA1L/STOML2/ATP5MG/NDUFA1/ATP5F1E/SDHA/COX6A1/ATP5PD/NDUFA12/NDUFB5/CYC1/NDUFB6/PARK7/ND4/ATP5F1D/NDUFA6/UQCRB/ATP5PF/NDUFA5/NDUFS3/NDUFS4/COX7C/COX7A2L/SDHD/NDUFB4/NDUFB1/NDUFA2/MTFR1/BLOC1S1/NUPR1/ATP5ME/NDUFC2/SURF1/IDH1/COX2/FH/MRPS36/NDUFB10/CHCHD10/NDUFB8/SIRT3/ND4L/SHMT2/NDUFB7/MTFR1L/COX5B/CYTB/BNIP3/NDUFB9/NOP53/ATP6/ND3/MLXIPL/DHTKD1/CAT/CBFA2T3/COX6A2
Down-regulated,GO:0045333,cellular respiration,71/2156,225/16344,5.354375553329715e-13,2.1945290660718504e-10,PANK2/CHCHD2/UQCRC1/ATP5PO/NDUFV2/OXA1L/STOML2/ATP5MG/NDUFA1/ATP5F1E/SDHA/TRAP1/COX6A1/ATP5PD/NDUFA12/NDUFB5/CYC1/NDUFB6/PARK7/ND4/IMMP2L/ATP5F1D/NDUFA6/UQCRB/ATP5PF/FLCN/NDUFA5/NDUFS3/NDUFS4/COX7C/COX7A2L/SDHD/NDUFB4/NDUFB1/NDUFA2/MTFR1/BLOC1S1/NUPR1/ATP5ME/SLC25A13/NDUFC2/SURF1/IDH1/COX2/OPN3/FH/MRPS36/NDUFB10/CHCHD10/NDUFB8/ETFRF1/SIRT3/ND4L/SHMT2/NDUFB7/MTFR1L/COX5B/CYTB/BNIP3/NDUFB9/NOP53/ATP6/PPARGC1A/ND3/MLXIPL/DHTKD1/CAT/COQ10A/CBFA2T3/COX6A2/CYP1A2
Down-regulated,GO:0046394,carboxylic acid biosynthetic process,85/2156,296/16344,9.992969608093317e-13,3.8226439740826306e-10,RDH10/PRKAA1/ERLIN1/PTGES3/ILVBL/NR1H4/ERLIN2/ALDH8A1/PARK7/CBR4/SCP2/OSBPL9/CYP7B1/PLOD2/BHMT2/GAMT/DHFR2/LIAS/DHFR/PROX1/TECR/MGST2/ACSM2A/SHMT2/CYP39A1/ASL/DPYD/CYP27A1/ACACB/SHMT1/APOC1/APOC3/DECR2/MTHFD1/ACSM2B/GPX4/PECR/KYNU/CYP4A11/AGXT/HSD17B10/MLXIPL/FGFR4/CYP4F11/PHGDH/HSD17B8/APOA5/PAH/PER2/GLUD1/UPB1/ACSM5/AKR1C4/NR1H3/THNSL2/ABAT/SLC45A3/OSBPL6/ABHD1/ABCB11/ACMSD/CTH/PCBD1/PSAT1/FADS6/SIRT1/SLC27A5/ACSM3/BAAT/HOGA1/ADI1/BHMT/GLS2/HAAO/CYP3A4/SDS/CYP2E1/NAGS/AKR1D1/ASS1/AASS/LOC344967/CYP1A2/CYP1A1/OAT
Down-regulated,GO:0016053,organic acid biosynthetic process,85/2156,298/16344,1.4937079596982905e-12,5.356810170467994e-10,RDH10/PRKAA1/ERLIN1/PTGES3/ILVBL/NR1H4/ERLIN2/ALDH8A1/PARK7/CBR4/SCP2/OSBPL9/CYP7B1/PLOD2/BHMT2/GAMT/DHFR2/LIAS/DHFR/PROX1/TECR/MGST2/ACSM2A/SHMT2/CYP39A1/ASL/DPYD/CYP27A1/ACACB/SHMT1/APOC1/APOC3/DECR2/MTHFD1/ACSM2B/GPX4/PECR/KYNU/CYP4A11/AGXT/HSD17B10/MLXIPL/FGFR4/CYP4F11/PHGDH/HSD17B8/APOA5/PAH/PER2/GLUD1/UPB1/ACSM5/AKR1C4/NR1H3/THNSL2/ABAT/SLC45A3/OSBPL6/ABHD1/ABCB11/ACMSD/CTH/PCBD1/PSAT1/FADS6/SIRT1/SLC27A5/ACSM3/BAAT/HOGA1/ADI1/BHMT/GLS2/HAAO/CYP3A4/SDS/CYP2E1/NAGS/AKR1D1/ASS1/AASS/LOC344967/CYP1A2/CYP1A1/OAT
Down-regulated,GO:0006119,oxidative phosphorylation,47/2156,134/16344,8.136532983922201e-11,2.7463191918673873e-8,CHCHD2/UQCRC1/ATP5PO/NDUFV2/STOML2/ATP5MG/NDUFA1/ATP5F1E/SDHA/COX6A1/ATP5PD/NDUFA12/NDUFB5/CYC1/NDUFB6/PARK7/ND4/ATP5F1D/NDUFA6/UQCRB/ATP5PF/NDUFA5/NDUFS3/NDUFS4/COX7C/COX7A2L/SDHD/NDUFB4/NDUFB1/NDUFA2/NUPR1/ATP5ME/NDUFC2/COX2/NDUFB10/CHCHD10/NDUFB8/ND4L/SHMT2/NDUFB7/COX5B/CYTB/NDUFB9/ATP6/ND3/MLXIPL/COX6A2
Down-regulated,GO:0006631,fatty acid metabolic process,95/2156,375/16344,1.19595062796118e-10,3.8124248351340284e-8,PANK2/PRKAA1/ERLIN1/TYSND1/AKT2/ADIPOR1/PTGES3/ILVBL/ERLIN2/CBR4/SCP2/ACAD11/ECH1/PTGR1/ACAA1/CRYL1/PEX5/PPARA/LIAS/ACBD5/IVD/SESN2/TECR/HADH/ACSM2A/CYP2C18/PCCA/ALDH3A2/ECI1/CYP2J2/ECI2/ACSL5/AIG1/MCEE/FAAH/PHYH/ACACB/APOC1/ETFBKMT/HAO1/APOC3/DECR2/ACSM2B/GPX4/PECR/PPARGC1A/MBLAC2/NCOR1/PDK2/CYP4A11/HSD17B10/MLXIPL/ACADS/CYP4F11/FABP3/CYP4F3/HSD17B8/APOA5/DBI/PER2/AKR1C1/CYP4V2/ACSM5/SREBF1/AKR1C4/NR1H3/THNSL2/SLC45A3/ECHDC2/CYP4F12/IRS1/PCK2/ABHD1/ABCB11/HAO2/ACOX2/DGAT2/ALKBH7/PCK1/FADS6/SIRT1/SLC27A5/ADH4/ACSM3/BAAT/GCDH/CYP3A4/NAAA/CYP2E1/ACADSB/LOC344967/CYP2G1P/CYP1A2/CYP1A1/CYP2C19
Down-regulated,GO:0006066,alcohol metabolic process,89/2156,344/16344,1.438406311179944e-10,4.343987059763431e-8,SPR/RDH10/HDLBP/PRKAA1/ERLIN1/MBTPS2/NR1H4/ERLIN2/AKR7A2/THTPA/PARK7/CBR4/DHRS3/INPP5A/LRP5/PMVK/GDE1/APOA2/CYP7B1/DHFR/BMP6/IDH1/CYP2C18/ALDH3A2/RXRA/CYP39A1/CYP27A1/PLPP3/DHRS4/HAO1/EPHX2/FMO5/QDPR/PECR/RBP4/NUDT4/PTH1R/APOA5/FDPS/AKR1C1/GCH1/LSS/CEBPA/SREBF1/AKR1C4/HMGCS2/EBP/CAT/TM7SF2/ALDH2/PCK2/NAPEPLD/NUDT4B/APOF/SOD1/DGAT2/UGT1A4/PCBD1/PCK1/LRAT/ADH4/ADH6/SULT1A2/ADH1C/SULT1A1/CETP/PON1/ADH1B/SEC14L2/SORD/TTR/LCAT/TSKU/NR0B2/MOGAT1/CYP3A4/NAAA/GPER1/GALK1/AKR1D1/SULT1E1/CACNA1H/CYP3A5/SLC34A1/CYP1A2/ACER1/CYP1A1/SOAT2/SERPINA12
Down-regulated,GO:0009117,nucleotide metabolic process,111/2156,471/16344,3.6620818415999044e-10,1.0506512803550125e-7,PANK2/KARS1/GMPS/PRKAA1/ATP5PO/PDHX/DCAKD/DCTD/PRPS2/STOML2/ATP5MG/ATP5F1E/ATP5PD/HINT1/ZBTB20/APRT/ABHD14B/PARK7/PRPSAP2/SLC25A16/UCK1/PMVK/UCKL1/ATP5F1D/AFMID/MCCC2/BAD/MAGI3/ATP5PF/NAPRT/FLCN/ADAL/ATP5MC2/PAICS/PDE8A/INSR/PAPSS2/SLC25A1/PPARA/PARP16/NUPR1/ATP5ME/SLC25A13/COX2/TECR/QPRT/ACSM2A/PRPSAP1/ADK/PRPS1/ACSL5/NUDT16/NT5E/MPC2/PIPOX/MCEE/NT5C/DPYD/ACACB/SHMT1/DERA/DNPH1/MTHFD1/ACSM2B/NADK2/ATP6/NPR1/ASPDH/PPARGC1A/KYNU/NCOR1/PDK2/PDE2A/NMRK1/ASMTL/MLXIPL/ENPP1/NUDT4/PFKFB1/DHTKD1/PDE7B/UPB1/ACSM5/NT5C3B/HMGCS2/PGM1/RORA/CDA/ALDOB/NUDT4B/CBFA2T3/HPRT1/PNP/ACMSD/GLYAT/DGAT2/ACSM3/BAAT/SULT1A2/SULT1A1/ENPP3/GCDH/HAAO/NTHL1/AADAT/GALK1/SULT1E1/AASS/ADCY1/LOC344967/PGAM2
Down-regulated,GO:0022900,electron transport chain,52/2156,163/16344,4.3723441707237257e-10,1.1946909929339399e-7,CHCHD2/NDUFV2/NDUFA1/SDHA/COX6A1/NDUFA12/AKR7A2/NDUFB5/CYC1/NDUFB6/PARK7/DHRS3/ND4/IMMP2L/NDUFA13/NDUFA6/UQCRB/NDUFA5/NDUFS3/NDUFS4/MAOB/COX7C/COX7A2L/SDHD/NDUFB4/CYB5A/NDUFB1/NDUFA2/SLC25A13/NDUFC2/SURF1/COX2/NDUFB10/NDUFB8/ETFRF1/ND4L/NDUFB7/COX5B/CYTB/SRD5A1/NDUFB9/QDPR/PPARGC1A/ND3/PHGDH/PDIA5/DMGDH/AKR1C4/ALDH2/HAAO/COX6A2/CYP1A2
Down-regulated,GO:0006753,nucleoside phosphate metabolic process,112/2156,479/16344,4.998780148960716e-10,1.303772749760754e-7,PANK2/KARS1/GMPS/PRKAA1/ATP5PO/PDHX/DCAKD/DCTD/PRPS2/STOML2/ATP5MG/ATP5F1E/ATP5PD/HINT1/ZBTB20/APRT/ABHD14B/PARK7/PRPSAP2/SLC25A16/UCK1/PMVK/UCKL1/ATP5F1D/AFMID/MCCC2/BAD/MAGI3/ATP5PF/NAPRT/FLCN/ADAL/ATP5MC2/PAICS/PDE8A/INSR/PAPSS2/SLC25A1/PPARA/PARP16/NUPR1/ATP5ME/SLC25A13/COX2/TECR/QPRT/ACSM2A/PRPSAP1/ADK/PRPS1/ACSL5/NUDT16/NT5E/MPC2/PIPOX/MCEE/NT5C/DPYD/ACACB/SHMT1/DERA/DNPH1/MTHFD1/ACSM2B/NADK2/ATP6/NPR1/ASPDH/PPARGC1A/KYNU/NCOR1/PDK2/PDE2A/NMRK1/ASMTL/MLXIPL/ENPP1/NUDT4/PFKFB1/DHTKD1/PDE7B/UPB1/ACSM5/NT5C3B/HMGCS2/PGM1/RORA/CDA/ALDOB/NUDT4B/CBFA2T3/HPRT1/PNP/ACMSD/GLYAT/DGAT2/SMPDL3A/ACSM3/BAAT/SULT1A2/SULT1A1/ENPP3/GCDH/HAAO/NTHL1/AADAT/GALK1/SULT1E1/AASS/ADCY1/LOC344967/PGAM2
Down-regulated,GO:0072329,monocarboxylic acid catabolic process,43/2156,124/16344,7.731753477074426e-10,1.9289044109327417e-7,TYSND1/AKT2/ILVBL/SCP2/ACAD11/ECH1/ACAA1/PEX5/PPARA/IVD/SESN2/HADH/PCCA/ECI1/ECI2/AIG1/MCEE/FAAH/PHYH/ACACB/ETFBKMT/HAO1/DECR2/CYP4A11/AGXT/HSD17B10/ACADS/CYP4F11/LDHD/CYP4F3/ECHDC2/CYP4F12/IRS1/PCK2/ABHD1/ABCB11/ACOX2/PCK1/PON3/IDNK/HOGA1/GCDH/AKR1D1
Down-regulated,GO:0033108,mitochondrial respiratory chain complex assembly,35/2156,94/16344,3.385457852921092e-9,7.902899947646801e-7,DMAC2/OXA1L/COA5/NDUFA1/COX14/TMEM126A/NDUFA12/NDUFB5/NDUFAF3/NDUFB6/ND4/IMMP2L/NDUFA13/NDUFA6/FOXRED1/NDUFA5/NDUFS3/NDUFS4/NDUFB4/NDUFB1/NDUFA2/COX16/NDUFC2/NDUFAF2/OMA1/SURF1/NDUFB11/COX17/SDHAF3/NDUFA11/NDUFB10/PET100/NDUFB8/NDUFB7/NDUFB9
Down-regulated,GO:0010257,"NADH dehydrogenase complex assembly",26/2156,58/16344,3.5809584984108892e-9,7.902899947646801e-7,DMAC2/OXA1L/NDUFA1/TMEM126A/NDUFA12/NDUFB5/NDUFAF3/NDUFB6/ND4/NDUFA13/NDUFA6/FOXRED1/NDUFA5/NDUFS3/NDUFS4/NDUFB4/NDUFB1/NDUFA2/NDUFC2/NDUFAF2/NDUFB11/NDUFA11/NDUFB10/NDUFB8/NDUFB7/NDUFB9
Down-regulated,GO:0032981,mitochondrial respiratory chain complex I assembly,26/2156,58/16344,3.5809584984108892e-9,7.902899947646801e-7,DMAC2/OXA1L/NDUFA1/TMEM126A/NDUFA12/NDUFB5/NDUFAF3/NDUFB6/ND4/NDUFA13/NDUFA6/FOXRED1/NDUFA5/NDUFS3/NDUFS4/NDUFB4/NDUFB1/NDUFA2/NDUFC2/NDUFAF2/NDUFB11/NDUFA11/NDUFB10/NDUFB8/NDUFB7/NDUFB9
Down-regulated,GO:0006544,glycine metabolic process,12/2156,15/16344,8.351665710350887e-9,1.7238071651911448e-6,DHFR2/DHFR/GCSH/SHMT2/SHMT1/AGXT/PHGDH/RIDA/AMT/GLYAT/BAAT/GCAT
Down-regulated,GO:0072521,purine-containing compound metabolic process,94/2156,399/16344,8.411746362034168e-9,1.7238071651911448e-6,PANK2/GMPS/PRKAA1/ATP5PO/PDHX/DCAKD/PRPS2/STOML2/ATP5MG/ATP5F1E/OARD1/ATP5PD/HINT1/ZBTB20/APRT/ABHD14B/PRPSAP2/SLC25A16/PMVK/ATP5F1D/MCCC2/BAD/MAGI3/ATP5PF/FLCN/ADAL/ATP5MC2/PAICS/PDE8A/INSR/PAPSS2/SLC25A1/PPARA/NUPR1/ATP5ME/SLC25A13/COX2/TECR/ACSM2A/PRPSAP1/ADK/PRPS1/SHMT2/ACSL5/NUDT16/NT5E/MPC2/PIPOX/MCEE/NT5C/DPYD/ACACB/SHMT1/DNPH1/MTHFD1/ACSM2B/ATP6/NPR1/PPARGC1A/NCOR1/PDK2/PDE2A/MLXIPL/ENPP1/NUDT4/PFKFB1/DHTKD1/PDE7B/ACSM5/HMGCS2/PGM1/RORA/ALDOB/NUDT4B/CBFA2T3/HPRT1/PNP/GLYAT/MACROD1/DGAT2/ACSM3/BAAT/SULT1A2/SULT1A1/GCDH/TTR/AADAT/GALK1/SULT1E1/AASS/ADCY1/LOC344967/GNMT/PGAM2
